dt,txs,unique_addresses,utilization,ma7_line_unique_users,ma7_line_txs,ma7_line_utilization
2021-05-21T00:00:00+00:00,2268836,34055,0.21529218754587559534,34548.125000000000,2377911.750000000000,0.18570859079508703159
2021-05-20T00:00:00+00:00,2520068,35262,0.20567707020203236858,33153.375000000000,2328943.500000000000,0.17982407481070998182
2021-05-19T00:00:00+00:00,3914576,37352,0.16903171793666268479,31904.500000000000,2296295.625000000000,0.17358791023494203025
2021-05-18T00:00:00+00:00,2480894,38417,0.17647922175178196959,29931.500000000000,1976738.250000000000,0.18006539938536892047
2021-05-17T00:00:00+00:00,1875224,29188,0.18031223647951471056,27757.000000000000,1865397.750000000000,0.18041462162460458188
2021-05-16T00:00:00+00:00,1811413,29252,0.18143986991323232371,26853.625000000000,1769929.125000000000,0.18472023022585411209
2021-05-15T00:00:00+00:00,2354734,28367,0.15543017902877499915,25668.375000000000,1638043.750000000000,0.20031401954090062783
2021-05-14T00:00:00+00:00,1797549,44492,0.20200624350282160097,25036.750000000000,1457840.875000000000,0.21946658419944573836
2021-05-13T00:00:00+00:00,1877090,22897,0.16821605967085919723,22257.428571428571,1409311.142857142857,0.22196091858467775798
2021-05-12T00:00:00+00:00,2258885,25271,0.15578775359588875596,22150.833333333333,1331348.000000000000,0.23091839507031418477
2021-05-11T00:00:00+00:00,1358117,21568,0.22085163114007780659,21526.800000000000,1145840.600000000000,0.24594452336519927054
2021-05-10T00:00:00+00:00,1590170,21021,0.17927299966566726085,21516.500000000000,1092771.500000000000,0.25221774642147963652
2021-05-09T00:00:00+00:00,1111475,21961,0.21475710528951095226,21681.666666666667,926972.000000000000,0.27653266200675042841
2021-05-08T00:00:00+00:00,756330,19770,0.30619018443360444960,21542.000000000000,834720.500000000000,0.30742044036537016649
2021-05-07T00:00:00+00:00,913111,23314,0.30865069629713588338,23314.000000000000,913111.000000000000,0.30865069629713588338
