day,ohmdai_fees,ohmfrax_fees,total_fees,running_total
2021-08-01T00:00:00+00:00,4801.13282412707246992108067430030122111323298103201586650,768.810899287072491703446230539850150418132401376144,5569.94372341414496162452690484015137153136538240815986650,1555930.63220245550926883475492331383172983176233016722555376700
2021-07-31T00:00:00+00:00,52349.52101618573446099157936876516836847194868429985414750,8163.717035190856622257915444949365144207440739814739,60513.23805137659108324949481371453351267938942411459314750,1550360.68847904136430721022801847368035830039694775906568726700
2021-07-30T00:00:00+00:00,21012.31370711006268176033794686879703783154248081772265425,4142.65060474229432336723468354667493249473461730396,25154.96431185235700512757263041547197032627709812168265425,1489847.45042766477322396073320475914684562100752364447253976700
2021-07-29T00:00:00+00:00,60231.335161469915679526902721493316089487748651201198974400,9404.53131004138027453175311341246482419294547985357,69635.866471511295954058655834905780913680694131054768974400,1464692.48611581241621883316057434367487529473042552278988551700
2021-07-28T00:00:00+00:00,18356.820434469094232678725599855029907573369194207080964800,3311.26253733030849326041539619313997503747960613264,21668.082971799402725939140996048169882610848800339720964800,1395056.61964430112026477450473943789396161403629446802091111700
2021-07-27T00:00:00+00:00,19354.48176029147456104567654977420299392734374103851504100,3692.06782884930982463756977993685661748646793537840,23046.54958914078438568324632971105961141381167641691504100,1373388.53667250171753883536374338972407900318749412829994631700
2021-07-26T00:00:00+00:00,39435.85477255051731938330758653399597932376094826294176000,5591.03247467604167701111334412423263318444786449248,45026.88724722655899639442093065822861250820881275542176000,1350341.98708336093315315211741367866446758937581771138490531700
2021-07-25T00:00:00+00:00,16084.49761722377425313932068186070950658914218938210171500,2604.14033096163931300201020528614916009814417605222,18688.63794818541356614133088714685866668728636543432171500,1305315.09983613437415675769648302043585508116700495596314531700
2021-07-24T00:00:00+00:00,27611.297596251893236257888772777598622034186152079367860250,3987.35788604695593494035278443504094786767937091830,31598.655482298849171198241557212639569901865522997667860250,1286626.46188794896059061636559587357718839388063952164143031700
2021-07-23T00:00:00+00:00,16262.092951012110052602581228784436756465758823166878728150,2469.68706524926260986145364828470629201453995754400,18731.780016261372662464034877069143048480298780710878728150,1255027.80640565011141941812403866093761849201511652397357006700
2021-07-22T00:00:00+00:00,31812.96236332570260409587679124413572840522061025109090950,3287.815212067950894954255598254290291347156183549188,35100.77757539365349905013238949842601975237679380027890950,1236296.02638938873875695408916159179457001171633581309484191700
2021-07-21T00:00:00+00:00,35871.611826054715277164000872407136586796370073513958005400,3496.30066550021604723253037197342430556273024117336,39367.912491554931324396531244380560892359100314687318005400,1201195.24881399508525790395677209336855025933954201281593241700
2021-07-20T00:00:00+00:00,36474.72502884796569993330249989521020501436541621319580300,4551.061356761644076512824326561273522508113278446159,41025.78638560960977644612682645648372752247869465935480300,1161827.33632244015393350742552771280765790023922732549792701700
2021-07-19T00:00:00+00:00,49204.169388380216001556999238805477512634998064721158711450,7471.443886475264517738914548886193251624249424032991,56675.613274855480519295913787691670764259247488754149711450,1120801.54993683054415706129870125632393037776053266614312401700
2021-07-18T00:00:00+00:00,17914.758879116642679655218210085371133020361613850206470300,1511.61666390424549699944386738864479069636865725176,19426.375543020888176654662077474015923716730271101966470300,1064125.93666197506363776538491356465316611851304391199341256700
2021-07-17T00:00:00+00:00,31886.51009702026120357700155343837045274495136210097479500,3870.33704109970724474362775679741497018983145612400,35756.84713811996844832062931023578542293478281822497479500,1044699.56111895417546111072283609063724240178277281002694226700
2021-07-16T00:00:00+00:00,18752.17672676525392506143055319626604791496127637798652800,2327.63364014381119715798822082814803982178635133220,21079.81036690906512221941877402441408773674762771018652800,1008942.71398083420701279009352585485181946699995458505214726700
2021-07-15T00:00:00+00:00,15770.15032741584782320771453468770642943497126930855947400,1336.35795041201779461251260572155771861048276609421,17106.50827782786561782022714040926414804545403540276947400,987862.90361392514189057067475183043773173025232687486561926700
2021-07-14T00:00:00+00:00,21712.31357851936629873873989073860763659633781221410760250,1992.45399987152780952515703103808507658060112420200,23704.76757839089410826389692177669271317693893641610760250,970756.39533609727627275044761142117358368479829147209614526700
2021-07-13T00:00:00+00:00,20457.35608050226145001426207322320115457523558031068125700,2117.73730407869836050476701153510899778628173013415,22575.09338458095981051902908475831015236151731044483125700,947051.62775770638216448655068964448087050785935505598854276700
2021-07-12T00:00:00+00:00,9673.97506165863683379014087981725628394182294911597473000,767.72767274618699349523556270146846102437691334382,10441.70273440482382728537644251872474496619986245979473000,924476.53437312542235396752160488617071814634204461115728576700
2021-07-11T00:00:00+00:00,6105.028167272700321875148736747606315554693232446259753600,588.021314020090046189140557621368312154528212935692,6693.049481292790368064289294368974627709221445381951753600,914034.83163872059852668214516236744597318014218215136255576700
2021-07-10T00:00:00+00:00,10466.74219425990532377562173492102193846597280323983600650,2004.20045093506476906633582789578577219977381522352,12470.94264519497009284195756281680771066574661846335600650,907341.78215742780815861785586799847134547092073676941080216700
2021-07-09T00:00:00+00:00,8008.15807385664532791538275772560174980172960301859403825,845.171549600276596965994610147727405360503031643488,8853.32962345692192488137736787332915516223263466208203825,894870.83951223283806577589830518166363480517411830605479566700
2021-07-08T00:00:00+00:00,16880.48185416240439590526107491554915006814627144584200900,1852.95836090783215083998118293909077167649364476209,18733.44021507023654674524225785463992174463991620793200900,886017.50988877591614089452093730833447964294148364397275741700
2021-07-07T00:00:00+00:00,22241.854219729638949916334667536458545161627481192748741300,2282.41078114251874055047012816882282663908001391040,24524.265000872157690466804795705281371800707495103148741300,867284.06967370567959414927867945369455789830156743604074841700
