_traders,_market,_date
23,COMP-USDC,2021-05-23
38,DOT-USDC,2021-05-23
11,CREAM-USDC,2021-05-23
35,LINK-USDC,2021-05-23
93,ETH-USDC,2021-05-23
14,REN-USDC,2021-05-23
24,CRV-USDC,2021-05-23
26,SNX-USDC,2021-05-23
31,MKR-USDC,2021-05-23
31,YFI-USDC,2021-05-23
28,UNI-USDC,2021-05-23
38,SUSHI-USDC,2021-05-23
37,PERP-USDC,2021-05-23
31,BTC-USDC,2021-05-22
28,AAVE-USDC,2021-05-22
17,COMP-USDC,2021-05-22
20,DOT-USDC,2021-05-22
9,CREAM-USDC,2021-05-22
22,LINK-USDC,2021-05-22
55,ETH-USDC,2021-05-22
11,REN-USDC,2021-05-22
20,CRV-USDC,2021-05-22
19,SNX-USDC,2021-05-22
22,MKR-USDC,2021-05-22
22,YFI-USDC,2021-05-22
21,UNI-USDC,2021-05-22
27,SUSHI-USDC,2021-05-22
41,PERP-USDC,2021-05-22
51,BTC-USDC,2021-05-21
30,AAVE-USDC,2021-05-21
22,COMP-USDC,2021-05-21
31,DOT-USDC,2021-05-21
12,CREAM-USDC,2021-05-21
28,LINK-USDC,2021-05-21
70,ETH-USDC,2021-05-21
15,REN-USDC,2021-05-21
19,CRV-USDC,2021-05-21
27,SNX-USDC,2021-05-21
20,MKR-USDC,2021-05-21
24,YFI-USDC,2021-05-21
24,UNI-USDC,2021-05-21
24,SUSHI-USDC,2021-05-21
42,PERP-USDC,2021-05-21
41,BTC-USDC,2021-05-20
28,AAVE-USDC,2021-05-20
21,COMP-USDC,2021-05-20
29,DOT-USDC,2021-05-20
12,CREAM-USDC,2021-05-20
28,LINK-USDC,2021-05-20
68,ETH-USDC,2021-05-20
15,REN-USDC,2021-05-20
23,CRV-USDC,2021-05-20
26,SNX-USDC,2021-05-20
15,MKR-USDC,2021-05-20
20,YFI-USDC,2021-05-20
29,UNI-USDC,2021-05-20
29,SUSHI-USDC,2021-05-20
44,PERP-USDC,2021-05-20
104,BTC-USDC,2021-05-19
30,AAVE-USDC,2021-05-19
30,COMP-USDC,2021-05-19
42,DOT-USDC,2021-05-19
16,CREAM-USDC,2021-05-19
37,LINK-USDC,2021-05-19
125,ETH-USDC,2021-05-19
31,REN-USDC,2021-05-19
35,CRV-USDC,2021-05-19
32,SNX-USDC,2021-05-19
20,MKR-USDC,2021-05-19
32,YFI-USDC,2021-05-19
33,UNI-USDC,2021-05-19
34,SUSHI-USDC,2021-05-19
32,PERP-USDC,2021-05-19
33,BTC-USDC,2021-05-18
24,AAVE-USDC,2021-05-18
15,COMP-USDC,2021-05-18
23,DOT-USDC,2021-05-18
14,CREAM-USDC,2021-05-18
22,LINK-USDC,2021-05-18
47,ETH-USDC,2021-05-18
11,REN-USDC,2021-05-18
16,CRV-USDC,2021-05-18
18,SNX-USDC,2021-05-18
11,MKR-USDC,2021-05-18
18,YFI-USDC,2021-05-18
16,UNI-USDC,2021-05-18
42,SUSHI-USDC,2021-05-18
25,PERP-USDC,2021-05-18
56,BTC-USDC,2021-05-17
21,AAVE-USDC,2021-05-17
21,COMP-USDC,2021-05-17
27,DOT-USDC,2021-05-17
7,CREAM-USDC,2021-05-17
20,LINK-USDC,2021-05-17
79,ETH-USDC,2021-05-17
18,REN-USDC,2021-05-17
20,CRV-USDC,2021-05-17
16,SNX-USDC,2021-05-17
11,MKR-USDC,2021-05-17
23,YFI-USDC,2021-05-17
14,UNI-USDC,2021-05-17
33,SUSHI-USDC,2021-05-17
23,PERP-USDC,2021-05-17
53,BTC-USDC,2021-05-16
16,AAVE-USDC,2021-05-16
21,COMP-USDC,2021-05-16
18,DOT-USDC,2021-05-16
23,LINK-USDC,2021-05-16
67,ETH-USDC,2021-05-16
12,REN-USDC,2021-05-16
18,CRV-USDC,2021-05-16
15,SNX-USDC,2021-05-16
10,MKR-USDC,2021-05-16
29,YFI-USDC,2021-05-16
18,UNI-USDC,2021-05-16
20,SUSHI-USDC,2021-05-16
21,PERP-USDC,2021-05-16
28,BTC-USDC,2021-05-15
13,AAVE-USDC,2021-05-15
15,COMP-USDC,2021-05-15
21,DOT-USDC,2021-05-15
14,LINK-USDC,2021-05-15
41,ETH-USDC,2021-05-15
11,REN-USDC,2021-05-15
19,CRV-USDC,2021-05-15
18,SNX-USDC,2021-05-15
6,MKR-USDC,2021-05-15
28,YFI-USDC,2021-05-15
15,UNI-USDC,2021-05-15
17,SUSHI-USDC,2021-05-15
24,PERP-USDC,2021-05-15
