day,volume
2021-04-03T00:00:00+00:00,5854145.69022445083130883707
2021-02-14T00:00:00+00:00,18323578.19117204204010092549
2021-07-04T00:00:00+00:00,1585642.596812426344163935600000
2021-04-08T00:00:00+00:00,5170266.88338699847318834156
2021-03-15T00:00:00+00:00,2574394.49256293676213208529
2021-06-21T00:00:00+00:00,40935514.44896127565190263551
2021-02-21T00:00:00+00:00,22743873.22687738926208859224
2021-07-13T00:00:00+00:00,81848297.69168351488692756927
2021-05-25T00:00:00+00:00,27160101.70440710285136730648
2021-07-10T00:00:00+00:00,3324341.69528490153035881891
2021-03-23T00:00:00+00:00,9848792.01482577660953010395
2021-05-29T00:00:00+00:00,1347561.48316484737204365071
2021-06-17T00:00:00+00:00,7091971.95178751245471175822
2021-04-22T00:00:00+00:00,16478437.68775234221217756175
2021-03-16T00:00:00+00:00,12026440.42105000087860731370
2021-03-07T00:00:00+00:00,18828527.83522922238113009443
2021-02-01T00:00:00+00:00,22857253.917270187212613889822065
2021-01-23T00:00:00+00:00,23122548.29771498492147498871
2021-05-08T00:00:00+00:00,7543690.27311668786871038702
2021-03-17T00:00:00+00:00,17444045.96490434728550169833
2021-05-24T00:00:00+00:00,29916693.91168124362131529357
2021-03-19T00:00:00+00:00,7926039.24493071108621683998
2021-04-04T00:00:00+00:00,2656462.67231006537322629495
2021-06-29T00:00:00+00:00,30302267.49994268946699490476
2021-07-01T00:00:00+00:00,75076421.55254094361501561930
2021-06-12T00:00:00+00:00,13916464.59607096507837458343
2021-06-26T00:00:00+00:00,26665222.37567649687670981705
2021-07-02T00:00:00+00:00,52743845.86944271860421143797
2021-03-10T00:00:00+00:00,19619433.51742449787161696494
2021-05-13T00:00:00+00:00,36041946.08634351167851663377
2021-05-02T00:00:00+00:00,14316924.57250981091935244480
2021-02-22T00:00:00+00:00,38911280.787306181351065451660000
2021-02-02T00:00:00+00:00,25748097.426636945379939389104000
2021-01-30T00:00:00+00:00,29546076.44281215574343112713
