day,project,locked_usd_value
2021-07-28T00:00:00+00:00,MakerDAO,5584732198.484974
2021-06-23T00:00:00+00:00,MakerDAO,4964337823.009087
2021-07-11T00:00:00+00:00,MakerDAO,5548903362.305281
2021-07-19T00:00:00+00:00,Aave,14368195051.927174
2021-08-06T00:00:00+00:00,Aave,17587351179.25209
2021-07-30T00:00:00+00:00,Aave,15992269586.79372
2021-04-10T00:00:00+00:00,Compound,14453125937.97229
2021-05-14T00:00:00+00:00,MakerDAO,12787886264.211792
2021-06-15T00:00:00+00:00,Aave,13669382331.261238
2021-08-16T00:00:00+00:00,Compound,16193088637.844624
2021-03-09T00:00:00+00:00,Compound,10206036230.523804
2021-07-25T00:00:00+00:00,Compound,13618215593.303556
2021-04-27T00:00:00+00:00,MakerDAO,8813438685.174742
2021-05-07T00:00:00+00:00,Aave,14259141227.971642
2021-03-08T00:00:00+00:00,Compound,9728787714.305975
2021-05-09T00:00:00+00:00,Compound,17033959397.093315
2021-04-16T00:00:00+00:00,Compound,16181492795.99861
2021-07-21T00:00:00+00:00,Aave,14404581827.535364
2021-03-25T00:00:00+00:00,MakerDAO,5507551148.043239
2021-03-27T00:00:00+00:00,MakerDAO,5805842725.183251
2021-07-08T00:00:00+00:00,Aave,12216678062.91302
2021-06-17T00:00:00+00:00,Compound,11205345248.650185
2021-04-02T00:00:00+00:00,Aave,6473267488.822514
2021-03-14T00:00:00+00:00,Aave,5425463182.321956
2021-07-15T00:00:00+00:00,MakerDAO,4916186159.081188
2021-07-24T00:00:00+00:00,Aave,15064642752.232586
2021-07-04T00:00:00+00:00,Aave,12829663903.78268
2021-07-30T00:00:00+00:00,MakerDAO,5757627040.248725
2021-06-29T00:00:00+00:00,Compound,7799429006.212565
2021-04-22T00:00:00+00:00,Aave,6562691007.296762
2021-08-13T00:00:00+00:00,Aave,18587392062.75637
2021-02-24T00:00:00+00:00,Aave,4790527812.198349
2021-08-07T00:00:00+00:00,Aave,18148595804.72286
2021-07-11T00:00:00+00:00,Compound,11361697002.96831
2021-04-14T00:00:00+00:00,Compound,16125308465.860796
2021-06-02T00:00:00+00:00,MakerDAO,7294314824.771982
2021-06-02T00:00:00+00:00,Compound,11525909333.619358
2021-03-07T00:00:00+00:00,Aave,5186759411.23009
2021-03-01T00:00:00+00:00,MakerDAO,5836287084.358812
2021-04-22T00:00:00+00:00,MakerDAO,8480685672.765587
2021-08-10T00:00:00+00:00,Compound,15802219520.898058
2021-06-25T00:00:00+00:00,Compound,9553144062.818602
2021-08-09T00:00:00+00:00,MakerDAO,6922657561.624993
2021-05-05T00:00:00+00:00,Aave,13205995395.639708
2021-03-09T00:00:00+00:00,Aave,5325500675.839093
2021-07-12T00:00:00+00:00,Compound,11649460495.438261
2021-04-11T00:00:00+00:00,Aave,6139837779.693152
2021-07-16T00:00:00+00:00,Aave,14635054719.762457
2021-07-06T00:00:00+00:00,Aave,12626021145.615631
2021-05-06T00:00:00+00:00,Aave,14254255062.681175
2021-07-17T00:00:00+00:00,Aave,14547707887.792078
2021-08-14T00:00:00+00:00,Aave,19351800120.554264
2021-03-21T00:00:00+00:00,Compound,11316672731.552656
2021-05-29T00:00:00+00:00,Aave,11987831631.274828
2021-03-17T00:00:00+00:00,Aave,5316712777.14084
2021-05-14T00:00:00+00:00,Compound,16324992975.474697
2021-08-13T00:00:00+00:00,Compound,15920870053.609743
2021-04-15T00:00:00+00:00,Compound,15998096084.005404
2021-04-09T00:00:00+00:00,Aave,6192040263.457691
2021-06-07T00:00:00+00:00,MakerDAO,7254933474.2476635
2021-06-20T00:00:00+00:00,Compound,10176655762.654482
2021-05-11T00:00:00+00:00,MakerDAO,12880442999.225658
2021-08-04T00:00:00+00:00,MakerDAO,6316683238.59248
2021-07-10T00:00:00+00:00,MakerDAO,5314385508.85466
2021-03-13T00:00:00+00:00,MakerDAO,6690568515.355583
2021-02-20T00:00:00+00:00,MakerDAO,7191298185.919346
2021-07-29T00:00:00+00:00,Aave,15795242142.954918
2021-07-13T00:00:00+00:00,Compound,11458306010.506674
2021-03-14T00:00:00+00:00,MakerDAO,7150032063.903309
2021-07-18T00:00:00+00:00,MakerDAO,4740742497.21469
2021-03-03T00:00:00+00:00,Compound,9611975154.144306
2021-02-24T00:00:00+00:00,Compound,8787546061.92883
2021-06-19T00:00:00+00:00,Aave,13049686406.312542
2021-03-28T00:00:00+00:00,MakerDAO,5882894562.581281
2021-07-12T00:00:00+00:00,Aave,12659636935.457987
2021-02-26T00:00:00+00:00,Compound,8456853981.683
2021-07-01T00:00:00+00:00,Compound,8545664947.864104
2021-07-29T00:00:00+00:00,MakerDAO,5566058591.384384
2021-07-25T00:00:00+00:00,MakerDAO,5084822994.33776
2021-05-03T00:00:00+00:00,Aave,13254125516.501448
2021-04-04T00:00:00+00:00,MakerDAO,7093589845.716617
2021-04-21T00:00:00+00:00,Aave,6490731544.457576
2021-04-03T00:00:00+00:00,Aave,6447408534.7239685
2021-07-29T00:00:00+00:00,Compound,14319210711.359884
2021-06-18T00:00:00+00:00,MakerDAO,6030918427.796725
2021-06-28T00:00:00+00:00,MakerDAO,5128053766.937637
2021-07-09T00:00:00+00:00,MakerDAO,5361320347.491777
2021-02-18T00:00:00+00:00,Compound,9445103077.35849
2021-08-11T00:00:00+00:00,MakerDAO,7272178043.751028
2021-03-21T00:00:00+00:00,Aave,5493769714.742706
2021-05-29T00:00:00+00:00,MakerDAO,6700582030.509846
2021-06-13T00:00:00+00:00,MakerDAO,6376432746.658861
2021-04-24T00:00:00+00:00,MakerDAO,7759638746.423264
2021-07-09T00:00:00+00:00,Compound,10889644941.996973
2021-04-04T00:00:00+00:00,Aave,6335109624.711517
2021-06-29T00:00:00+00:00,Aave,12836481378.80764
2021-03-29T00:00:00+00:00,MakerDAO,6401267773.361497
2021-08-11T00:00:00+00:00,Compound,15786230509.630745
2021-05-10T00:00:00+00:00,MakerDAO,12800667038.052574
2021-06-15T00:00:00+00:00,MakerDAO,6842969338.4006405
2021-06-21T00:00:00+00:00,MakerDAO,5485225781.664883
2021-06-14T00:00:00+00:00,Compound,11231447830.899433
2021-02-21T00:00:00+00:00,Compound,9919267217.888756
2021-05-27T00:00:00+00:00,Aave,11936810988.881073
2021-03-25T00:00:00+00:00,Compound,10934366295.940678
2021-02-18T00:00:00+00:00,MakerDAO,6840670557.941657
2021-05-24T00:00:00+00:00,Aave,10238912859.878994
2021-07-08T00:00:00+00:00,Compound,10105329628.503222
2021-07-14T00:00:00+00:00,MakerDAO,4940968606.3255205
2021-03-08T00:00:00+00:00,MakerDAO,6318057532.451984
2021-07-31T00:00:00+00:00,Compound,14514204361.873222
2021-05-25T00:00:00+00:00,MakerDAO,7619204665.642364
2021-04-19T00:00:00+00:00,Aave,6384227275.135662
2021-06-10T00:00:00+00:00,Aave,13262041877.394894
2021-04-02T00:00:00+00:00,MakerDAO,7104428056.818619
2021-05-26T00:00:00+00:00,MakerDAO,8135491589.182676
2021-04-26T00:00:00+00:00,Aave,7888120634.806133
2021-07-20T00:00:00+00:00,Aave,14040591776.954102
2021-05-01T00:00:00+00:00,Aave,11922352544.253641
2021-05-08T00:00:00+00:00,MakerDAO,11881092667.256298
2021-04-12T00:00:00+00:00,MakerDAO,7771222800.2744
2021-03-06T00:00:00+00:00,Aave,4819031917.474072
2021-02-28T00:00:00+00:00,Compound,8492335024.435854
2021-07-10T00:00:00+00:00,Aave,12355621591.72048
2021-04-24T00:00:00+00:00,Aave,5751780181.538872
